percentile_rank_no_highschool_diploma,percent_frequent_physical_distress,percent_smokers,percent_fair_or_poor_health,percent_below_poverty,percentile_rank_below_poverty,percentile_rank_per_capita_income,median_household_income,percentile_rank_no_highschool_diploma,percent_frequent_physical_distress,average_number_of_physically_unhealthy_days,percent_smokers,percent_fair_or_poor_health,percent_below_poverty,percentile_rank_per_capita_income,percentile_rank_social_vulnerability,per_capita_income,percent_frequent_mental_distress,average_number_of_mentally_unhealthy_days
0.6211,12.789519636,17.098560247,17.954704364,18.5,0.6756,0.5209,50480.0,0.6211,12.789519636,4.1133897039,17.098560247,17.954704364,18.5,0.5209,0.7886,23989.0,12.991941864000001,4.0615290111
0.7813,12.042056824000001,16.568724467,15.920837424,17.4,0.6097,0.7838,49138.0,0.7813,12.042056824000001,3.9306007266000003,16.568724467,15.920837424,17.4,0.7838,0.6695,20567.0,12.64790051,4.0862960785
0.7685,13.782640492999999,17.205321828,18.949304349000002,19.5,0.7294,0.7485,39735.0,0.7685,13.782640492999999,4.4217645119,17.205321828,18.949304349000002,19.5,0.7485,0.5969,21059.0,13.974708160999999,4.3936263065
0.7892,14.535490315999999,20.217104679000002,22.774451061,22.8,0.8513,0.9405,38023.0,0.7892,14.535490315999999,4.5676184097000005,20.217104679000002,22.774451061,22.8,0.9405,0.9637,17548.0,14.13761158,4.3910868782
0.6883,12.50539854,16.747418802000002,15.809505842,19.9,0.7479,0.6511,41864.0,0.6883,12.50539854,4.1317649177,16.747418802000002,15.809505842,19.9,0.6511,0.5282,22343.0,12.870771852,4.1031839631
0.8402,12.520442698,17.385965386,16.647629199999997,16.7,0.5664,0.7119,41701.0,0.8402,12.520442698,4.0910430318,17.385965386,16.647629199999997,16.7,0.7119,0.7644,21548.0,12.847703139000002,4.139821632
0.6269,13.260693647,17.69732422,18.956978723,17.5,0.617,0.5441,46411.0,0.6269,13.260693647,4.2656732316,17.69732422,18.956978723,17.5,0.5441,0.667,23716.0,13.621742115999998,4.2524445756
0.943,14.282390712,19.953601249000002,22.609442574000003,20.9,0.7902,0.9497,35433.0,0.943,14.282390712,4.4885311411,19.953601249000002,22.609442574000003,20.9,0.9497,0.9252,17244.0,13.989007143,4.2974752446
0.8571,14.561716769,18.739880808,20.764327340999998,28.1,0.9484,0.8548,36976.0,0.8571,14.561716769,4.6067840101,18.739880808,20.764327340999998,28.1,0.8548,0.9612,19510.0,14.399587875,4.4394985992
0.4467,11.898415062,14.995104748,16.415902592000002,15.2,0.469,0.2089,60163.0,0.4467,11.898415062,3.8762823341000003,14.995104748,16.415902592000002,15.2,0.2089,0.4693,28694.0,12.274530874000002,3.9787653801999996
