fips,state,county,lat,lon,total_population,area_sqmi,population_density_per_sqmi,num_deaths,years_of_potential_life_lost_rate,percent_fair_or_poor_health,average_number_of_physically_unhealthy_days,average_number_of_mentally_unhealthy_days,percent_low_birthweight,percent_smokers,percent_adults_with_obesity,food_environment_index,percent_physically_inactive,percent_with_access_to_exercise_opportunities,percent_excessive_drinking,num_alcohol_impaired_driving_deaths,num_driving_deaths,percent_driving_deaths_with_alcohol_involvement,num_chlamydia_cases,chlamydia_rate,teen_birth_rate,num_uninsured,percent_uninsured,num_primary_care_physicians,primary_care_physicians_rate,num_dentists,dentist_rate,num_mental_health_providers,mental_health_provider_rate,preventable_hospitalization_rate,percent_with_annual_mammogram,percent_vaccinated,high_school_graduation_rate,num_some_college,population,percent_some_college,num_unemployed_CHR,labor_force,percent_unemployed_CHR,percent_children_in_poverty,eightieth_percentile_income,twentieth_percentile_income,income_ratio,num_single_parent_households_CHR,num_households_CHR,percent_single_parent_households_CHR,num_associations,social_association_rate,annual_average_violent_crimes,violent_crime_rate,num_injury_deaths,injury_death_rate,average_daily_pm2_5,presence_of_water_violation,percent_severe_housing_problems,severe_housing_cost_burden,overcrowding,inadequate_facilities,percent_drive_alone_to_work,num_workers_who_drive_alone,percent_long_commute_drives_alone,life_expectancy,num_deaths_2,age_adjusted_death_rate,num_deaths_3,child_mortality_rate,num_deaths_4,infant_mortality_rate,percent_frequent_physical_distress,percent_frequent_mental_distress,percent_adults_with_diabetes,num_hiv_cases,hiv_prevalence_rate,num_food_insecure,percent_food_insecure,num_limited_access,percent_limited_access_to_healthy_foods,num_drug_overdose_deaths,drug_overdose_mortality_rate,num_motor_vehicle_deaths,motor_vehicle_mortality_rate,percent_insufficient_sleep,num_uninsured_2,percent_uninsured_2,num_uninsured_3,percent_uninsured_3,other_primary_care_provider_rate,percent_disconnected_youth,average_grade_performance,average_grade_performance_2,median_household_income,percent_enrolled_in_free_or_reduced_lunch,segregation_index,segregation_index_2,homicide_rate,num_deaths_5,suicide_rate_age_adjusted,num_firearm_fatalities,firearm_fatalities_rate,juvenile_arrest_rate,average_traffic_volume_per_meter_of_major_roadways,num_homeowners,percent_homeowners,num_households_with_severe_cost_burden,percent_severe_housing_cost_burden,population_2,percent_less_than_18_years_of_age,percent_65_and_over,num_black,percent_black,num_american_indian_alaska_native,percent_american_indian_alaska_native,num_asian,percent_asian,num_native_hawaiian_other_pacific_islander,percent_native_hawaiian_other_pacific_islander,num_hispanic,percent_hispanic,num_non_hispanic_white,percent_non_hispanic_white,num_not_proficient_in_english,percent_not_proficient_in_english,percent_female,num_rural,percent_rural,num_housing_units,num_households_CDC,num_below_poverty,num_unemployed_CDC,per_capita_income,num_no_highschool_diploma,num_age_65_and_older,num_age_17_and_younger,num_disabled,num_single_parent_households_CDC,num_minorities,num_limited_english_abilities,num_multi_unit_housing,num_mobile_homes,num_overcrowding,num_households_with_no_vehicle,num_institutionalized_in_group_quarters,percent_below_poverty,percent_unemployed_CDC,percent_no_highschool_diploma,percent_age_65_and_older,percent_age_17_and_younger,percent_disabled,percent_single_parent_households_CDC,percent_minorities,percent_limited_english_abilities,percent_multi_unit_housing,percent_mobile_homes,percent_overcrowding,percent_no_vehicle,percent_institutionalized_in_group_quarters,percentile_rank_below_poverty,percentile_rank_unemployed,percentile_rank_per_capita_income,percentile_rank_no_highschool_diploma,percentile_rank_socioeconomic_theme,percentile_rank_age_65_and_older,percentile_rank_age_17_and_younger,percentile_rank_disabled,percentile_rank_single_parent_households,percentile_rank_household_comp_disability_theme,percentile_rank_minorities,percentile_rank_limited_english_abilities,percentile_rank_minority_status_and_language_theme,percentile_rank_multi_unit_housing,percentile_rank_mobile_homes,percentile_rank_overcrowding,percentile_rank_no_vehicle,percentile_rank_institutionalized_in_group_quarters,percentile_rank_housing_and_transportation,percentile_rank_social_vulnerability
37001,North Carolina,Alamance,36.0437354060922,-79.3994547740471,156372,423.42041197486606,369.30671166906797,2298.0,8077.6461602,17.954704364,4.1133897039,4.0615290111,9.4704049844,17.098560247,32.4,7.1,26.2,80.32766275600001,16.316014209000002,29.0,89.0,32.584269663,906.0,557.9,23.233532934,18526.0,14.14382019,75.0,46.18483,81.0,48.667359999999995,226.0,135.78793000000002,4721.0,40.0,52.0,81.3,23657,38626,61.246310775,2958.0,80583.0,3.6707494136000003,19.8,95744.0,20379.0,4.6981696845,14045.0,35991.0,39.0236448,161,9.9143425436,601.5,381.79810085,659.0,82.1098877,10.5,False,16.469261139,13.945884084000001,2.6347594876,0.8782531625,85.508709582,74286.0,32.8,77.463784854,2298.0,402.17684949,76.0,52.15839681600001,104.0,8.3742652387,12.789519636,12.991941864000001,12.6,,,22680,14.4,15144.457057,10.020748263,104.0,21.289008526,145.0,13.052703215,33.320373975,16690.0,17.543122024000002,2040.0,5.4009689974,74.50310999999999,9.208176225399999,3.1113752437,2.9397369412,50480.0,56.090674411,39.76669744,37.588121545999996,4.8610067145,108.0,13.056411875999999,89.0,11.089195759,19.047619047999998,181.69073909,41668,65.046285456,8683.0,14.009809933,166436,22.239779855,16.899589030999998,33111,19.894133481,2373,1.4257732702,2939,1.7658439280000002,138,0.08291475400000001,21499,12.917277512,105484,63.378115312,5034,3.3287266331,52.572159869,43160.0,28.558005968000003,68211,62053,28123,5397,23989.0,16048,25042,35683,22634,6592,53928,4839,4636,8344,1638,3429,4485,18.5,6.9,15.3,16.0,22.8,14.6,10.6,34.5,3.3,6.8,12.2,2.6,5.5,2.9,0.6756,0.5116,0.5209,0.6211,0.6068,0.3684,0.5377,0.4212,0.8071,0.5982,0.7469,0.858,0.8571,0.7978,0.5498,0.7096,0.4358,0.6571,0.8268,0.7886
37003,North Carolina,Alexander,35.921032881232705,-81.177026189698,37211,259.984937311646,143.12752263564698,605.0,8854.860179000001,15.920837424,3.9306007266000003,4.0862960785,8.3166733307,16.568724467,34.8,8.2,31.3,20.433894295,16.996492209,7.0,25.0,28.0,67.0,179.7,29.756164760999997,3823.0,13.410741220999999,9.0,24.13775,9.0,24.09445,16.0,42.834579999999995,5729.0,47.0,42.0,85.1,4063,9163,44.341372913,570.0,18023.0,3.1626255339999996,19.6,88673.0,19355.0,4.581400155,2232.0,7540.0,29.602122016,63,16.89642225,71.5,192.54850741,150.0,80.306664382,10.1,False,14.24429141,9.6200663962,3.2982964842,1.7035157666,85.677280768,15828.0,35.1,77.146334654,605.0,413.64002554,17.0,55.70300468600001,,,12.042056824000001,12.64790051,18.3,,,4480,12.1,1098.8583672,2.9540791634,19.0,16.954143503,50.0,19.188922619,33.017130088,3476.0,16.502088872,381.0,4.8634158795,37.480259999999994,10.623556582,3.276806671,3.3650511387,49138.0,46.315364426,54.389793533,38.374631682,4.2215629761,38.0,19.309423162,35.0,18.738221689,24.642857143,13.144477715,10334,75.309721615,1141.0,8.6913467398,37353,20.15634621,20.049259765,2145,5.742510641699999,199,0.5327550664999999,386,1.0333841994,18,0.0481889005,1801,4.8215672101,32336,86.56868256899999,536,1.5185426524,49.112521083000004,27072.0,72.77810635,16179,13796,6240,1435,20567.0,5095,6860,7995,6473,826,4709,283,138,5058,457,546,1269,17.4,8.4,19.4,18.4,21.5,18.0,6.0,12.7,0.8,0.9,31.3,3.3,4.0,3.4,0.6097,0.7036,0.7838,0.7813,0.7717,0.6151,0.355,0.7125,0.1506,0.3521,0.4317,0.5209,0.46799999999999997,0.1468,0.9484,0.8188,0.1907,0.7151,0.6581,0.6695
37005,North Carolina,Alleghany,36.491295958194,-81.1279191895704,10868,234.40291184640802,46.3646117464668,189.0,8239.8174784,18.949304349000002,4.4217645119,4.3936263065,9.0504451039,17.205321828,25.7,8.0,25.8,26.741371582,14.417389047999999,2.0,7.0,28.571428571,27.0,244.8,42.871385841999995,1451.0,18.279163517,12.0,108.78433999999999,2.0,17.919539999999998,25.0,223.99427000000003,5181.0,44.0,53.0,92.0,924,2145,43.076923077,194.0,4305.0,4.506387921,29.8,74014.0,16655.0,4.4439507655,775.0,1927.0,40.217955371,14,12.691505757,14.0,140.20329478,59.0,107.75074878,8.7,True,13.125,11.869747899000002,1.4583333333000001,0.0833333333,81.10808356,4404.0,28.7,78.226761154,189.0,386.12721232,,,,,13.782640492999999,13.974708160999999,11.0,,,1480,13.5,199.20094999,1.7857548184,,,15.0,19.576622902,32.523787911999996,1309.0,21.515450362,156.0,7.9591836735,53.75861999999999,,3.2464531742,3.1612165305,39735.0,64.58036984399999,32.632927309,30.468641357,,16.0,27.13459725,12.0,21.915406531,25.714285714000003,27.66115365,3561,75.031605563,593.0,13.15731085,11161,17.417794104000002,27.085386614,174,1.5590000896,64,0.5734253203,93,0.8332586686,5,0.044798853099999994,1109,9.9363856285,9643,86.399068184,142,1.3482719332,50.470387958,11155.0,100.0,8108,4798,2089,315,21059.0,1521,2578,1987,2186,340,1355,129,92,1305,67,311,168,19.5,6.6,19.0,23.7,18.3,20.4,7.1,12.5,1.2,1.1,16.1,1.4,6.5,1.5,0.7294,0.4616,0.7485,0.7685,0.7249,0.9058,0.0834,0.8469,0.29,0.5918,0.4253,0.6444,0.5393,0.2028,0.6781,0.3101,0.5985,0.3757,0.312,0.5969
37007,North Carolina,Anson,34.9738206279104,-80.1026956888427,25883,531.462095633548,48.701497647062205,511.0,11387.890126999999,22.774451061,4.5676184097000005,4.3910868782,12.414578588,20.217104679000002,38.6,6.5,31.0,6.1896986789,14.37878787,9.0,22.0,40.909090909,166.0,664.2,37.288793941,2374.0,13.082773063,12.0,48.01729,5.0,20.09889,26.0,104.51420999999999,5927.0,39.0,45.0,83.7,3140,6774,46.353705344,465.0,10407.0,4.4681464399,31.5,80850.0,16083.0,5.0270471927,2021.0,4887.0,41.354614283000004,25,10.003601296,91.5,427.55011448,120.0,94.607379376,10.2,True,15.825446898,11.456102784,3.4700315457,1.3144058884999998,87.21693951600001,10201.0,44.1,74.183934645,511.0,552.82642631,17.0,85.435722183,20.0,11.547344111,14.535490315999999,14.13761158,18.5,,,5300,20.7,979.33157662,3.6341530972000005,12.0,15.93286951,45.0,25.090325171,37.302080171,2191.0,16.33246366,204.0,4.08,32.15822,,2.8810390159,2.5694643549,38023.0,98.299015219,29.712389373,28.712997203,18.399571792,18.0,14.055656134000001,32.0,25.228634500000002,14.705882353,79.430119625,6370,66.93989071,1323.0,14.893617020999999,24877,19.676809905,18.466856936,11996,48.221248543,239,0.9607267757,366,1.4712384934,17,0.0683362142,1074,4.3172408249,10991,44.181372352,324,1.34384073,47.988101459,21157.0,78.510464598,11512,9511,5484,1703,17548.0,3566,4157,5266,4759,1242,14212,204,54,3220,331,920,1810,22.8,14.4,19.6,16.1,20.3,19.7,13.1,54.9,0.8,0.5,28.0,3.5,9.7,7.0,0.8513,0.9729,0.9405,0.7892,0.9386,0.3789,0.2308,0.8083,0.9484,0.7625,0.9093,0.5333,0.7705,0.0799,0.9209999999999999,0.8335,0.8816,0.8787,0.9545,0.9637
37009,North Carolina,Ashe,36.4344805221016,-81.500511281784,26992,425.060570954254,63.5015380029331,404.0,7387.135568100001,15.809505842,4.1317649177,4.1031839631,8.135810378,16.747418802000002,26.0,8.1,31.3,59.367325245,15.474288261,4.0,18.0,22.222222222,41.0,152.1,29.118136439,3155.0,15.730169018,12.0,44.51534,10.0,36.88812,45.0,165.99653,3937.0,44.0,52.0,86.8,3504,5863,59.764625618000004,458.0,12750.0,3.5921568627,26.2,80641.0,17853.0,4.516943931,1597.0,4766.0,33.508182963,28,10.38691249,22.0,81.246768594,99.0,73.25953113899999,8.5,False,12.137757245,11.398305085,0.8315833683,0.20999580010000002,77.056205703,12134.0,40.0,78.741459152,404.0,340.40347611,11.0,56.651387959,,,12.50539854,12.870771852,17.3,,,3500,13.0,625.05569917,2.2911759069,13.0,16.051364365999998,21.0,11.088581929000002,31.904914286,2892.0,18.861279593,297.0,5.9163346614,77.46505,,3.2864662405000002,2.9954931327999996,41864.0,57.466360353999995,54.725150498000005,47.118987467,,24.0,16.814257746,20.0,14.799905281,19.411764706,18.047239796,8875,75.18000847100001,992.0,9.1996661411,27109,17.643587001,25.699952045,201,0.7414511786,115,0.42421336090000006,152,0.5606993987,15,0.0553321775,1406,5.1864694382,25000,92.22029584299999,218,0.8511635170999999,50.938802611999996,23152.0,84.864924306,17420,11905,5290,967,22343.0,3377,6182,4994,4069,1039,1994,182,279,3830,96,762,415,19.9,7.6,16.7,22.9,18.5,15.2,8.7,7.4,0.7,1.6,22.0,0.8,6.4,1.5,0.7479,0.6078,0.6511,0.6883,0.7202,0.8841,0.0961,0.483,0.5603,0.4963,0.2722,0.4836,0.3534,0.2977,0.8255,0.1057,0.5801,0.3738,0.3216,0.5282
37011,North Carolina,Avery,36.076550620444294,-81.9225869929318,17633,247.33767286328998,71.29120200684599,283.0,7900.7887606,16.647629199999997,4.0910430318,4.139821632,9.7336065574,17.385965386,26.5,8.4,29.1,100.0,17.073376468,2.0,10.0,20.0,34.0,193.9,22.315568391,2279.0,19.961460979,5.0,28.51277,5.0,28.563270000000003,74.0,422.73636,3948.0,35.0,47.0,94.0,2479,4505,55.027746948,278.0,7639.0,3.6392197932,25.4,76120.0,17406.0,4.3732046421,955.0,2627.0,36.353254663,32,18.248175182,30.0,173.82235355,75.0,85.20887535600001,8.5,False,13.249444855999998,9.9702380952,2.8127313100999998,0.59215396,76.755852843,6578.0,31.3,77.82964548,283.0,396.57532181,,,,,12.520442698,12.847703139000002,18.0,,,2140,12.2,31.961860227,0.1795912807,10.0,19.026961204000003,13.0,10.537664043,30.920616895,2096.0,23.646209386,200.0,7.4321813452,51.41388,,3.2479818333,3.1174979001999996,41701.0,57.588713125,,25.777253999000003,,15.0,15.402047157,11.0,12.497301719000001,24.444444444000002,35.472732186,4918,74.662213451,870.0,13.92,17505,14.972864895999999,22.227934876,773,4.4158811768,107,0.6112539274000001,97,0.5541273922,14,0.0799771494,909,5.192802056600001,15484,88.454727221,194,1.1507889429,45.575549843000005,15801.0,88.784626622,14008,6756,2509,562,21548.0,2763,3597,2761,3388,339,1902,170,913,2500,190,316,2694,16.7,8.0,21.0,20.4,15.7,21.7,5.0,10.8,1.0,6.5,17.8,2.8,4.7,15.3,0.5664,0.66,0.7119,0.8402,0.7447,0.7791,0.0213,0.9,0.0767,0.3123,0.3862,0.5887,0.4836,0.7861,0.723,0.7440000000000001,0.2939,0.9729,0.9408,0.7644
37013,North Carolina,Beaufort,35.4940095088585,-76.8597803561881,47513,832.0173457716361,57.105780596359,923.0,10201.594333,18.956978723,4.2656732316,4.2524445756,10.021584952000001,17.69732422,39.3,7.3,29.9,53.135534664,14.023477355999999,7.0,36.0,19.444444444000002,255.0,541.5,29.89890299,4972.0,13.93614934,24.0,50.9684,18.0,38.23361,63.0,133.81763,3973.0,53.0,53.0,82.9,5618,9619,58.40523963,900.0,19739.0,4.5595014945,27.5,90933.0,16982.0,5.3546696502,4020.0,9731.0,41.31127325,59,12.529731565999999,140.0,297.63486580000006,256.0,108.04924682,9.2,False,14.905362775999999,13.377837115999998,1.0778128286,0.7623554154000001,86.90565231299999,18718.0,33.1,75.882278798,923.0,471.34086787,27.0,69.14212548,34.0,10.173548773,13.260693647,13.621742115999998,11.0,,,7670,16.2,1842.1343084000002,3.8571458958,45.0,31.758802481,65.0,19.584212112,31.521687882,4557.0,17.349425112,463.0,4.6560740145,67.97086,,3.2043640104000004,3.1231017439,46411.0,92.09094713299999,25.602177705,26.257532915,5.1220247062,54.0,21.504470222,50.0,21.10336852,30.571428571,53.163639,13614,70.447606727,2879.0,15.752038080999998,47079,20.125746086,23.961851356,11463,24.348435608000003,500,1.0620446484000001,258,0.5480150386,35,0.0743431254,3769,8.0056925593,30911,65.657724251,483,1.0745033481,52.235603985,31330.0,65.600201009,25387,19021,8215,2097,23716.0,5200,10302,10093,8829,1427,16190,322,483,6598,204,1408,478,17.5,9.9,15.4,21.7,21.2,18.7,7.5,34.1,0.7,1.9,26.0,1.1,7.4,1.0,0.617,0.8405,0.5441,0.6269,0.7036,0.8456,0.3279,0.7539,0.3531,0.7052,0.7431,0.4884,0.6345,0.3649,0.8946,0.1843,0.7182,0.1643,0.391,0.667
37015,North Carolina,Bertie,36.066174400645,-76.9786689071322,20324,699.1761209995681,29.068498464941896,380.0,11007.103136,22.609442574000003,4.4885311411,4.2974752446,12.368633790999999,19.953601249000002,43.3,6.3,31.2,33.192369138000004,12.806986233,11.0,39.0,28.205128205,153.0,795.9,33.823121708,1823.0,13.241810125999999,3.0,15.60549,2.0,10.51193,9.0,47.30369,5517.0,51.0,41.0,84.1,2220,4667,47.568030855,387.0,7832.0,4.9412665986,32.0,70090.0,13888.0,5.0468029954,1955.0,3498.0,55.889079474,49,25.488972118000003,33.5,168.93595562,99.0,100.60055483,9.1,False,18.892508143,17.169684775,1.2899022801,0.9120521173,82.030719043,7357.0,29.7,76.289400168,380.0,499.89144931,12.0,85.94757198100001,,,14.282390712,13.989007143,20.4,,,4400,22.1,538.25449253,2.5291537099,11.0,18.931570976,40.0,28.693169591,38.042143312,1676.0,15.990840569000001,162.0,4.6834345186,73.58352,,2.8358703488,2.8507550461,35433.0,98.212108899,16.089223595,15.597360565999999,10.042609357,12.0,11.833300422,14.0,14.226341087,20.0,23.589517215,5972,74.874623872,1482.0,20.229320229000002,19026,17.607484495,23.015873016,11554,60.727425628,131,0.6885314831999999,151,0.7936507937,21,0.1103752759,426,2.2390413119,6605,34.715652265,72,0.38297872340000005,49.547986965,17716.0,83.24405601,9759,7673,3992,1171,17244.0,3767,3987,3678,4235,631,13304,118,120,3260,102,748,1331,20.9,14.2,25.2,19.6,18.1,22.2,8.2,65.5,0.6,1.2,33.4,1.3,9.7,6.5,0.7902,0.9707,0.9497,0.943,0.9567,0.7211,0.0751,0.9147,0.4731,0.6326,0.9548,0.4409,0.7389,0.2245,0.9608,0.2853,0.8816,0.8647,0.8526,0.9252
37017,North Carolina,Bladen,34.614594284811396,-78.563641268015,34454,874.852076943616,39.3826578321315,668.0,11127.709707,20.764327340999998,4.6067840101,4.4394985992,10.234627832000001,18.739880808,43.7,6.8,30.1,36.325660699000004,13.521084110999999,13.0,49.0,26.530612245,166.0,495.8,34.880410023,4353.0,16.720442498,7.0,20.90925,13.0,39.168420000000005,23.0,69.29798000000001,6824.0,40.0,30.0,89.5,3908,7751,50.419300735,759.0,14418.0,5.2642530171,44.2,69817.0,13784.0,5.0650754498,3418.0,7015.0,48.724162508999996,41,12.246848677000001,78.0,223.93201654,188.0,110.99041232,10.0,False,21.332388377,19.701275046,2.3033309709,0.9213323884000001,85.757794342,12477.0,36.3,75.04963816899999,668.0,499.34319672,22.0,77.59320001399999,23.0,9.6801346801,14.561716769,14.399587875,19.2,,,6600,19.3,1031.9037315,2.9323777536,21.0,20.914459859,80.0,33.452927549,35.191304909,3913.0,20.287225218,481.0,6.7319804059,75.32389,,2.9518997692,2.7624985551,36976.0,91.40562249,28.702388938000002,25.199456067,10.454039859,21.0,12.878764351,33.0,19.482359609,5.7692307692,18.545636812999998,9886,70.776059565,2175.0,16.965678627,33190,20.433865622,21.834890026999997,11122,33.510093401999995,1004,3.0250075324,116,0.3495028623,13,0.039168424199999996,2574,7.7553479964,18180,54.7755348,524,1.6383703843000001,52.295872251000006,32105.0,91.23330491600001,17639,14110,9549,1254,19510.0,5227,6334,7516,7578,1778,15766,695,189,6663,326,1191,559,28.1,9.0,21.6,18.4,21.8,22.2,12.6,45.8,2.1,1.1,37.8,2.3,8.4,1.6,0.9484,0.767,0.8548,0.8571,0.9131,0.6151,0.3926,0.9147,0.9357,0.9586,0.8606,0.7759,0.8727,0.1891,0.9844,0.6301,0.8071,0.4034,0.7561,0.9612
37019,North Carolina,Brunswick,34.0710955176462,-78.2376045444832,119167,849.620332865328,140.259119738945,2210.0,8736.689308399998,16.415902592000002,3.8762823341000003,3.9787653801999996,9.0604026846,14.995104748,28.9,7.7,24.6,79.009783024,14.551102777999999,33.0,94.0,35.106382979,399.0,304.8,30.505664548000002,12208.0,13.519080419000002,63.0,48.12945,49.0,35.83338,122.0,89.21781,4024.0,57.0,58.0,84.3,15077,24345,61.930581228,2723.0,52867.0,5.1506610929,20.1,101259.0,23589.0,4.2926363983,7094.0,20503.0,34.599814660999996,106,8.097970159700001,162.0,141.43283686,522.0,82.050314762,9.3,False,15.694224684000002,14.300060253,1.5526107594999998,0.6428006329,79.753081447,49652.0,30.8,78.632808222,2210.0,362.51477803,42.0,50.67017336399999,49.0,6.735395189,11.898415062,12.274530874000002,12.8,,,16160,13.2,5942.213371600001,5.5311905983,120.0,30.411004729000002,138.0,15.976789661,30.688907948,11124.0,15.889158692,1191.0,5.5732335049,84.09875,6.1912405412,3.1869227593000002,3.1712527314999996,60163.0,54.058523258,41.334180146,37.310875588,3.2416674674,88.0,13.394796845999998,71.0,11.160100284,16.428571429,43.278357978,42857,79.03404271,7876.0,15.084365962,136744,15.264289475,31.49681156,13699,10.01798982,1139,0.8329433101,1083,0.7919908735,139,0.1016497982,6664,4.8733399637,112265,82.09866612100001,1136,0.9345563737,52.245802375,46153.0,42.960597965,81727,50562,17992,5000,28694.0,11018,32056,20475,20869,3650,22078,1223,3321,18799,786,2188,891,15.2,9.7,12.0,26.9,17.2,17.7,7.2,18.5,1.1,4.1,23.0,1.6,4.3,0.7,0.469,0.8259,0.2089,0.4467,0.4967,0.9691,0.0478,0.6890000000000001,0.3075,0.4874,0.5508,0.6033,0.588,0.6339,0.8481,0.3747,0.23399999999999999,0.0879,0.32,0.4693
