county,percent_frequent_mental_distress,average_number_of_mentally_unhealthy_days
Alamance,12.991941864000001,4.0615290111
Alexander,12.64790051,4.0862960785
Alleghany,13.974708160999999,4.3936263065
Anson,14.13761158,4.3910868782
Ashe,12.870771852,4.1031839631
Avery,12.847703139000002,4.139821632
Beaufort,13.621742115999998,4.2524445756
Bertie,13.989007143,4.2974752446
Bladen,14.399587875,4.4394985992
Brunswick,12.274530874000002,3.9787653801999996
Buncombe,12.615815754000002,4.1121226304
Burke,13.171927518,4.129971869599999
Cabarrus,11.607239035,3.7427972513
Caldwell,13.096168175999999,4.1630504549000005
Camden,11.377152156,3.7555797592
Carteret,12.565017092,4.1895301195
Caswell,13.205834800999998,4.181045524
Catawba,12.38122365,4.0328480751999995
Chatham,11.988426175999999,3.8790673389999997
Cherokee,13.456708529,4.3453741993
Chowan,14.105888647,4.3335928714
Clay,13.536837554000002,4.3242134677
Cleveland,13.76502995,4.3274043058
Columbus,14.284448091,4.4240996505000005
Craven,12.391632145,4.0131570626999995
Cumberland,13.603953053,4.3730241156
Currituck,11.639061989000002,3.8174449159
Dare,11.913193877000001,3.8748374343000003
Davidson,12.933393882999999,4.1193972537
Davie,12.24523279,4.0169407504
Duplin,15.41450113,4.5923053644
Durham,12.15033872,3.8291224158999997
Edgecombe,15.240411415999999,4.7198945359
Forsyth,12.971380219,4.2488692844
Franklin,13.278998272,4.2767347245
Gaston,13.093077125999999,4.2624994688
Gates,12.237399915,3.9311520213
Graham,14.253374158,4.4397865082
Granville,12.33687524,3.9512149571
Greene,13.833691072,4.2342770648000005
Guilford,12.494834470999999,3.8833376619999997
Halifax,15.069834689,4.6707571242000006
Harnett,13.074748052999999,4.1774614142
Haywood,13.287080557000001,4.374666082
Henderson,11.892142208,3.8162357035000003
Hertford,14.101998483,4.3190879158
Hoke,14.068397160999998,4.3477730399
Hyde,12.52668009,3.9994542855
Iredell,12.140656809000001,4.063579624
Jackson,13.736873994000002,4.4044633531
Johnston,12.503853845999998,4.0202548461
Jones,14.290934152,4.4330986551
Lee,12.878449881,4.045640839
Lenoir,14.436683416,4.4982958932
Lincoln,12.548224942000001,4.1039071681
McDowell,13.736653489000002,4.4950636853
Macon,13.238765795,4.254176505299999
Madison,13.211704835,4.2244350944999995
Martin,14.428715777999999,4.4862055779
Mecklenburg,11.88356949,3.7573152060000004
Mitchell,12.893023705,4.1346984572
Montgomery,13.692964681,4.2708547029
Moore,12.299816387,3.9907644559
Nash,13.065973554000001,4.1377069969999996
New Hanover,13.170120954000001,4.2683146795999996
Northampton,14.490212525,4.455588585
Onslow,12.695751477,4.1401958215
Orange,11.656032773,3.7300769556
Pamlico,12.843313499999999,4.125336658
Pasquotank,13.142134157000001,4.1860348439
Pender,12.594159176,4.1983579761000005
Perquimans,13.680488814,4.2757474401
Person,13.381228668,4.3068208053
Pitt,13.601058350999999,4.1449189414
Polk,12.060083728,3.9339967714
Randolph,13.242477295999999,4.2101746596
Richmond,14.911633719000001,4.5608276825
Robeson,17.227353295,5.2095052356
Rockingham,13.570346369000001,4.368295370899999
Rowan,13.153078691,4.283802553999999
Rutherford,14.074226765,4.4874834507
Sampson,14.409221698,4.3700376976
Scotland,15.481604804000002,4.7568595199
Stanly,12.584144043,4.0355329275
Stokes,12.506709281,4.1079247455
Surry,14.022947786,4.5196172977
Swain,15.375920622999999,4.7550984842
Transylvania,12.899642292000001,4.0807201637
Tyrrell,14.433063506,4.4057244485
Union,11.293316456,3.7338203996
Vance,14.819169645999999,4.5744838895
Wake,10.787134305999999,3.463126103
Warren,14.306943165,4.4180294966
Washington,14.617046638,4.54142224
Watauga,14.476612023,4.5564770338
Wayne,14.018984932999999,4.4574759231
Wilkes,13.773587529,4.2954937235
Wilson,13.790906765,4.3726535038
Yadkin,13.338376063,4.2476568086
Yancey,13.791327177000001,4.3946948051
